contrast,homogeneity,energy,correlation,dissimilarity,mean_magnitude,std_magnitude,low_freq_magnitude,high_freq_magnitude,filename,label
0.1800349253091891,0.8494698704863111,0.6376273837473136,0.8341124618882843,0.153751596335433,0.3212147656848738,0.2918372949132084,0.2742398916198172,0.2349056927431953,callo_1.png,smaller
0.1087873353168898,0.916683380591651,0.6609200982093286,0.7892117641041345,0.0827577661181881,0.382918504069008,0.5184566395169964,0.4262584673473616,0.4345115742924708,callo_10.png,smaller
0.2849598322371424,0.7117252848482551,0.413043281243082,0.663472073762251,0.2693944040818697,0.3119998156470492,0.2231248482576402,0.276983147626355,0.2710766003573917,callo_100.png,smaller
0.2103766694298442,0.7131126131023193,0.3706280922101883,0.6983565240082994,0.2253435001968872,0.3302727129209322,0.2867847278419217,0.3505917680120758,0.3338195616713973,callo_101.png,smaller
0.3575665648587914,0.56298433395648,0.3808630293885849,0.532436876638978,0.3806887928836353,0.2054500769737669,0.1319722711562062,0.1743407606564043,0.1979680205839477,callo_102.png,smaller
0.2303574936461518,0.6825749154961605,0.3046158811903393,0.7510996929444387,0.2577997601562648,0.2661076573805859,0.2220151809926457,0.2409452128927889,0.251485259000965,callo_103.png,smaller
0.1420771697055607,0.8484191695860854,0.4289125731024746,0.8171856438981333,0.1315444164083109,0.3303305877667865,0.3567162447162258,0.3389718169150467,0.3115697591674295,callo_104.png,smaller
0.0739630031980689,0.6975343345710328,0.4495524190133941,0.8159837549351003,0.1456751718543408,0.1888843799229212,0.25278432088732,0.1605757884269687,0.1848914593458904,callo_105.png,smaller
0.1826129191330759,0.6951534863123436,0.4020607269243982,0.7026840021768539,0.2232187434074725,0.2320226290110212,0.2202578790367094,0.2037066677208761,0.1911480124178696,callo_106.png,smaller
0.2878605343739573,0.5960576505966628,0.4753565675732858,0.5887412499080025,0.3251672512917316,0.2991161551781626,0.2135144385704689,0.2577586096090147,0.237079427255879,callo_107.png,smaller
0.0843731552796294,0.8339501496436141,0.4659675128543924,0.9107492427416348,0.0980533859827339,0.2978355943133411,0.3472781419947002,0.2596374422959922,0.2755955940691443,callo_108.png,smaller
0.1646564975562917,0.7043420269799077,0.4580789682253788,0.737332082995187,0.2191604574111829,0.1999889648947048,0.2072967820015204,0.1984215039400391,0.1987077520294656,callo_109.png,smaller
0.3742887237279803,0.7448807767782042,0.5182592577919549,0.5049123666976651,0.3096601042994058,0.2616409608974004,0.1652728734898445,0.2371735021944206,0.2380798417108594,callo_11.png,smaller
0.1394049796098628,0.7258874143671203,0.45215687460626,0.8260883734272708,0.1818018928240415,0.3503024622746187,0.4269025889952792,0.374809922951642,0.37334790947599,callo_110.png,smaller
0.3259811269029796,0.7785239358760614,0.5234830355619515,0.6623063952404538,0.2611997479266585,0.3874285512057157,0.3155803906939253,0.3749375701347793,0.3529704139661891,callo_111.png,smaller
0.0697969936373516,0.9226857494476204,0.5671953170723425,0.9443605345251154,0.0517206167419962,0.3884667403942874,0.508963094077394,0.3970181200460741,0.3749494166612261,callo_112.png,smaller
0.1856947881708882,0.8018790446020532,0.4895658431256311,0.7908534823485773,0.1855407046600173,0.2567253469252797,0.2395950466806557,0.2451603820973031,0.2390152026842532,callo_113.png,smaller
