area,perimeter,eccentricity,extent,solidity,orientation,major_axis_length,minor_axis_length,filename,label
0.1237413563023171,0.2070308500581754,0.9465598572629331,0.31955479635823775,0.40268715584892456,0.5691568347258265,0.43423163279869587,0.14534012693112164,callo_1.png,smaller
0.2746572849690646,0.21254975434332338,0.8799576099217744,0.7281534956546678,0.8856559456782169,0.04703268915740416,0.3805226681881324,0.19339188416099795,callo_10.png,smaller
0.0559262404464394,0.11054352380453131,0.831615701206388,0.34396166548975776,0.5721087826967768,0.8493732779610597,0.1576618078062347,0.09618212066616719,callo_100.png,smaller
0.10602935824335799,0.203185090000895,0.9481436795276209,0.27528563681153023,0.27606672678286026,0.4519298991783691,0.4121126221593319,0.13512743890710327,callo_101.png,smaller
0.026446682033240326,0.08837291956349409,0.9631157841618035,0.2513127416489603,0.3465915022444932,0.553682404619572,0.20414712496329307,0.04799985992317327,callo_102.png,smaller
0.03530268106271988,0.07903787291293754,0.9404914968657291,0.558043644850047,0.8297722947526858,0.564199929317295,0.14584457632548045,0.04391563278193907,callo_103.png,smaller
0.08880262040519228,0.1145680424453196,0.7911438029153313,0.5526516348173787,0.8275265397231679,0.6235370718718202,0.17277602039418083,0.11900546401916454,callo_104.png,smaller
0.07618585466456386,0.19257016800618823,0.7973196561875869,0.1473883030850685,0.21140857332177077,0.7196921008243449,0.34753855977935133,0.23081831618268364,callo_105.png,smaller
0.04707024141695985,0.08514615430752315,0.7792689786579297,0.391033296150808,0.8094344208583071,0.7709597780326618,0.11971193702653327,0.08686113578218427,callo_106.png,smaller
0.059201746936794857,0.13035661960781805,0.7898915250134664,0.3733454665784249,0.6610259519981385,0.7676825883129341,0.16590471955883312,0.11485817682831961,callo_107.png,smaller
0.12944316389663957,0.13177950181877457,0.6969984591053857,0.667081094882906,0.9451185114378653,0.7212951771834881,0.19294791985210474,0.16080347730814343,callo_108.png,smaller
0.03142059929637268,0.07924624918831727,0.967567897503364,0.6979203787608816,0.7339167468306671,0.5108843801124088,0.15725624071951613,0.029983737305902362,callo_109.png,smaller
